Luxemburg								
Luzern								
Lyon								
Lübeck								
Lückendorf bei Oybin, Kgr. Sachsen								
Lüneburg								
Lünen								
Mac Donnel Gebirge (Zentral-Australien)								
Macalle (Tigrai)								
Macassar (Makasar)								
Madagaskar								
								
Madras (Indien)	Madras (Chennai)							
Madrid (Spanien)								
Mafia								
Magdeburg								
Magdeburg-Buckau								
Mailand (Italien)								
Main-Long-gylt (Siam, Shan-Staaten)								
Mainz								
Malakka (Malâka)								
Malang (Ost-Java)								
Malang (bei Soerabaya)								
Malaysia								
Malden (Massachusetts)								
Malschoewen (Ostpreußen)								
Malschöwen								
Manaus (Brasilien)								
Manchester								
Manila								
Manila (Luzon)								
Manila (Philippinen)								
Maningaza-Fluss (bei Beravi, West-Madagaskar)								
Mannheim								
Maracaibo								
Maranguape								
Marburg								
Marburg a./Lahn								
Marburg a./Lahr								
Marcaibo								
Margelan								
Marianen								
Mariannhill (Südafrika)								
Mariatrost bei Graz								
Marienfelde								
Marienwerder								
Markkleeberg								
Marokko								
Marquesas Inseln	Marquesas-Inseln							
								
Marshall-Inseln								
Marshall-Inseln, Fidji-Inseln								
Marshall-Inseln, Gilbert-Inseln								
Marton, Yorkshire (Großbritannien)								
Maschona-Land	Maschonaland							
								
Mashona								
Maskat								
Matto Grosso (Brasilien)								
Matty, St. Matthias, New Irland								
Matupi								
Maxsain								
Mbeyahof								
Medan Deli (Sumatra)								
Meissen								
Melanesien								
Melange (Portugiesisch Westafrika)								
Melbourne								
Melbourne (Australien)								
Menado (Celebres/Sulawesi)								
Mengo								
Menton-Garavan (Riviera)								
Meran								
Meran (Obermais)								
Merantee (Holländisch Neu-Guinea)								
Mesoamerika								
Mesopotamien								
Metschkau (Mieczków) (Schlesien)								
Mettnau bei Radolfzell, Wohnhaft seit 1901								
Metz								
Mexiko City	Mexiko	Mexiko-Stadt						
								
								
Midan								
Mikindani								
Millstadt (Kärnten)								
Milwaukee (Wisconin)	Milwaukee (Wisconsin)							
								
Mimoso (oder Cuiabá)								
Minden (Westfalen)								
Missionsschule Niesky								
Missionsstation, Chishawasha								
Missionsstation, Coranderrk								
Missionsstation, Rântschi/Ranchi (Tschota Nagpur)								
Mitla (Mexiko)								
Mittel-Kamerun, Süd-Kamerun								
Moabit								
Mohasi-See (Ruanda)								
Mombasa								
Mondevideo								
Mongolei								
Montego-Bay (Jamaica)								
Montevideo	Montevideo (Uruguay)							
								
Morelia (Mexiko)								
Moskau	Moskau (Russland)	Moskau (Sowjetunion, UdSSR)						
								
								
Mozambique								
Mubi (Kamerun)								
Mukden (China)								
Muôa								
Myanmar (Birma)	Myanmar (Birma/Burma)							
								
Märkisch Friedland								
Mérida (Yucatán, Mexiko)								
Mödling (bei Wien / Österreich)								
Möhringen a.d. Filder								
Mönchengladbach (Rheinland)								
Mörz bei Belzig								
Mühlheim a./Rh.	Mülheim a.d. Ruhr	Mülheim/ Ruhr						
								
								
München								
Münster								
Münster (Westphalen)								
Nagasaki								
Nagasaki (Japan)								
Nagasaki-shi 長崎市								
Nagoya								
Nairobi								
Namatanai (Ostküste Neuirland)								
