geoname	geoname1	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	geonameId	latitude	longitude
Cape Town (Südafrika)	Cape Town (Südafrika)	Capetown (Südafrika)								3369157	-33.92584	18.42322
Caracas (Venezuela)	Caracas (Venezuela)									3646738	10.48801	-66.87919
Carlshafen	Carlshafen									2892867	51.64263	9.45477
	Carlsruhe (Oberschlesien)											
Carlstadt	Carlstadt									5096289	40.84038	-74.0907
Cartago	Cartago									3624370	9.86371	-83.9195
Cartago (Costa Rica)	Cartago (Costa Rica)									3624370	9.86371	-83.9195
	Casabinda											
Casapalca (Peru)	Casapalca (Peru)									3967482	-11085	-76.60306
	Casas Grandas											
Celebes (Sulawesi)	Celebes (Sulawesi)									9062340	-2.13154	120.28888
Celle (Hannover)	Celle (Hannover)	Celle								10118201	52.62564	10.08608
	Cermakowitz/Cermákovice (Mähren, Tschechische Republik)											
Ceylon (Sri Lanka)	Ceylon (Sri Lanka)	Ceylon								1227604	7.60632	80.71648
Chaco (Argentinien)	Chaco (Argentinien)									3861887	-26.33333	-60.5
Chaco (Paraguay)	Chaco (Paraguay)									3444449	-23	-60
Chamonix	Chamonix									3027301	45.92375	6.86933
Charlottenburg	Charlottenburg bei Berlin	Charlottenburg (bei Berlin)	Charlottenburg							2940187	52.51667	13.28333
Charlottenburg-Westend	Charlottenburg-Westend									2810538	52.51708	13.27636
Chascomus (Argentinien)	Chascomus (Argentinien)									3435446	-35.47745	-57.9776
Chattanooga (Tennessee)	Chattanooga (Tennessee)									4612862	35.04563	-85.30968
Chefoo (Yantai)	Chefoo (Yantai)									1787093	37.47649	121.44081
Chemnitz	Chemnitz									2940132	50.8357	12.92922
Chevillon	Chevillon									3025316	47.96197	2.62601
Chicago	Chicago (Vereinigte Staaten, USA)	Chicago								4887398	41.85003	-87.65005
Chile	Chile									3895114	-30	-71
China	China									1814991	35	105
	China, China zu prüfen											
	China, Taiwan (Formosa), Korea, Japan, Südsee											
Chinde	Chinde									1024697	-18.58111	36.45861
	Chinesisch-Turkestan											
Chiromo	Chiromo									1864550	34.40773	129.37057
	Chotscho											
Christiania	Christiania									2623186	55.67346	12.59765
Christmas Lake Valley (Oregon)	Christmas Lake Valley (Oregon)									5719183	43.23627	-120.67018
	Clayoquot (Vancouver Island)											
Coban (Guatemala)	Coban (Guatemala)									3598119	15.47025	-90.37455
Coblenz (Koblenz)	Coblenz (Koblenz)									2886946	50.35357	7.57883
Coburg	Coburg									2939951	50.25937	10.96384
Cochinchina	Cochinchina									1573261	11	107
